year;title;studios;producers;winner;Interval
2002;Pinocchio;Miramax Films;Gianluigi Braschi, Nicoletta Braschi and Elda Ferri;;0
1986;Howard the Duck;Universal Studios;Gloria Katz;yes;0
2015;Jupiter Ascending;Warner Bros.;Grant Hill and The Wachowskis;;0
2008;The Hottie & the Nottie;Regent Releasing;Hadeel Reda;;0
1983;Stroker Ace;Warner Bros., Universal Studios;Hank Moonjean;;0
1989;Star Trek V: The Final Frontier;Paramount Pictures;Harve Bennett;yes;0
2014;Transformers: Age of Extinction;Paramount Pictures;Ian Bryce, Tom DeSanto, Lorenzo di Bonaventura and Don Murphy;;0
1985;Revolution;Warner Bros.;Irwin Winkler;;0
1985;Rocky IV;MGM, United Artists;Irwin Winkler and Robert Chartoff;;0
2017;Baywatch;Paramount Pictures;Ivan Reitman, Michael Berk, Douglas Schwartz, Gregory J. Bonann and Beau Flynn;;0
2013;Grown Ups 2;Columbia Pictures;Jack Giarraputo and Adam Sandler;;0
2000;Little Nicky;New Line Cinema;Jack Giarraputo and Robert Simonds;;0
2013;After Earth;Columbia Pictures;James Lassiter, Caleeb Pinkett, Jada Pinkett Smith, M. Night Shyamalan, Will Smith and Jaden Smith;;0
1997;Speed 2: Cruise Control;20th Century Fox;Jan de Bont, Steve Perry and Michael Peyser;;0
2008;Disaster Movie and Meet the Spartans;Lionsgate, 20th Century Fox;Jason Friedberg, Peter Safran and Aaron Seltzer;;0
2018;Robin Hood;Summit Entertainment;Jennifer Davisson and Leonardo DiCaprio;;0
1980;The Nude Bomb;Universal Studios;Jennings Lang;;0
2013;The Lone Ranger;Walt Disney Pictures;Jerry Bruckheimer and Gore Verbinski;;0
1980;The Jazz Singer;Associated Film Distribution;Jerry Leider;;0
1980;Cruising;Lorimar Productions, United Artists;Jerry Weintraub;;0
1981;Heaven's Gate;United Artists;Joann Carelli;;0
1989;Road House;United Artists;Joel Silver;;0
2007;Norbit;DreamWorks;John Davis, Eddie Murphy and Michael Tollin;;0
1981;Tarzan, the Ape Man;MGM, United Artists;John Derek;;0
1986;Shanghai Surprise;MGM;John Kohn;;0
2005;Dirty Love;First Look Pictures;John Mallory Asher, BJ Davis, Rod Hamilton, Kimberley Kates, Michael Manasseri, Jenny McCarthy and Trent Walford;yes;0
1993;Last Action Hero;Columbia Pictures;John McTiernan and Stephen J. Roth;;0
2003;From Justin to Kelly;20th Century Fox;John Steven Agoglia;;0
1999;Wild Wild West;Warner Bros.;Jon Peters and Barry Sonnenfeld;yes;0
2000;Battlefield Earth;Warner Bros., Franchise Pictures;Jonathan D. Krane, Elie Samaha and John Travolta;yes;0
1987;Jaws: The Revenge;Universal Studios;Joseph Sargent;;0
1997;Fire Down Below;Warner Bros.;Julius R. Nasso and Steven Seagal;;0
1995;Congo;Paramount Pictures;Kathleen Kennedy and Sam Mercer;;0
1995;Waterworld;Universal Studios;Kevin Costner, John Davis, Charles Gordon and Lawrence Gordon;;0
1992;The Bodyguard;Warner Bros.;Kevin Costner, Lawrence Kasdan and Jim Wilson;;0
1997;The Postman;Warner Bros.;Kevin Costner, Steve Tisch and Jim Wilson;yes;0
2001;Freddy Got Fingered;20th Century Fox;Larry Brezner, Howard Lapides and Lauren Lloyd;yes;0
2001;Glitter;20th Century Fox, Columbia Pictures;Laurence Mark and E. Bennett Walsh;;0
1980;Xanadu;Universal Studios;Lawrence Gordon;;0
1996;The Stupids;New Line Cinema, Savoy Pictures;Leslie Belzberg;;0
2000;The Next Best Thing;Paramount Pictures;Leslie Dixon, Linne Radmin and Tom Rosenberg;;0
1991;Nothing but Trouble;Warner Bros.;Lester Berman and Robert K. Weiss;;0
2009;G.I. Joe: The Rise of Cobra;Paramount Pictures, Hasbro;Lorenzo di Bonaventura, Bob Ducsay and Brian Goldner;;0
2009;Transformers: Revenge of the Fallen;Paramount Pictures, DreamWorks, Hasbro;Lorenzo di Bonaventura, Ian Bryce, Tom DeSanto and Don Murphy;yes;0
1991;Dice Rules;Seven Arts Productions;Loucas George;;0
2019;The Haunting of Sharon Tate;Saban Films;Lucas Jarach, Daniel Farrands, and Eric Brenner;;0
2006;Basic Instinct 2;MGM, C2 Pictures;Mario Kassar, Joel B. Michaels and Andrew G. Vajna;yes;0
2002;The Adventures of Pluto Nash;Warner Bros.;Martin Bregman, Michael Scott Bregman and Louis A. Stroller;;0
2003;Gigli;Columbia Pictures, Revolution Studios;Martin Brest and Casey Silver;yes;0
1984;Rhinestone;20th Century Fox;Marvin Worth and Howard Smith;;0
2003;The Real Cancun;New Line Cinema;Mary-Ellis Bunim, Jonathan Murray, Jamie Schutz and Rick de Oliveira;;0
2007;Daddy Day Camp;TriStar Pictures, Revolution Studios;Matt Berenson, John Davis and Wyck Godfrey;;0
1982;Butterfly;Analysis Film Releasing;Matt Cimber;;0
2002;Swept Away;Screen Gems;Matthew Vaughn;yes;0
1998;Armageddon;Touchstone Pictures;Michael Bay and Jerry Bruckheimer;;0
2014;Teenage Mutant Ninja Turtles;Paramount Pictures, Nickelodeon Movies, Platinum Dunes;Michael Bay, Ian Bryce, Andrew Form, Bradley Fuller, Scott Mednick and Galen Walker;;0
2015;Fifty Shades of Grey;Universal Pictures, Focus Features;Michael De Luca, Dana Brunetti and E. L. James;yes;0
2017;Fifty Shades Darker;Universal Pictures;Michael De Luca, E. L. James, Dana Brunetti and Marcus Viscidi;;0
1992;Newsies;Walt Disney Pictures;Michael Finnell;;0
2010;Sex and the City 2;New Line Cinema, HBO Films, Village Roadshow Pictures;Michael Patrick King, John Melfi, Sarah Jessica Parker and Darren Star;;0
2014;Left Behind;Freestyle Releasing, Entertainment One;Michael Walker and Paul LaLonde;;0
2017;The Emoji Movie;Columbia Pictures;Michelle Raimo Kouyate;yes;0
2011;New Year's Eve;Warner Bros., New Line Cinema;Mike Karz, Garry Marshall and Wayne Allan Rice;;0
1980;Windows;United Artists;Mike Lobell;;0
1982;Inchon;MGM;Mitsuharu Ishii;yes;0
2004;Alexander;Warner Bros.;Moritz Borman, Jon Kilik, Thomas Schuhly and Iain Smith;;0
1989;Speed Zone;Orion Pictures;Murray Shostack;;0
2010;The Bounty Hunter;Columbia Pictures;Neal H. Moritz;;0
1988;Caddyshack II;Warner Bros.;Neil Canton, Jon Peters and Peter Guber;;0
2012;A Thousand Words;Paramount Pictures, DreamWorks;Nicolas Cage, Alain Chabat, Stephanie Danan, Norman Golightly, Brian Robbinsand Sharla Sumpter Bridgett;;0
2006;The Wicker Man;Warner Bros.;Nicolas Cage, Randall Emmett, Norm Golightly, Avi Lerner and Joanne Sellar;;0
2013;A Madea Christmas;Lionsgate;Ozzie Areu, Matt Moore and Tyler Perry;;0
2019;A Madea Family Funeral;Lionsgate;Ozzie Areu, Will Areu, and Mark E. Swinton;;0
1984;Sheena;Columbia Pictures;Paul Aratow;;0
1992;Final Analysis;20th Century Fox;Paul Junger Witt, Charles Roven and Tony Thomas;;0
2009;Old Dogs;Walt Disney Pictures;Peter Abrams, Robert Levy and Andrew Panay;;0
2013;Movie 43;Relativity Media;Peter Farrelly, Ryan Kavanaugh, John Penotti and Charles B. Wessler;yes;0
1997;Batman & Robin;Warner Bros.;Peter MacGregor-Scott;;0
1988;Mac and Me;Orion Pictures;R. J. Louis;;0
2018;Gotti;Vertical Entertainment;Randall Emmett, Marc Fiore, Michael Froch and George Furla;;0
1990;Graffiti Bridge;Warner Bros.;Randy Phillips and Craig Rice;;0
1982;Annie;Columbia Pictures;Ray Stark;;0
1993;Cliffhanger;TriStar Pictures, Carolco Pictures;Renny Harlin and Alan Marshall;;0
2001;Driven;Warner Bros., Franchise Pictures;Renny Harlin, Elie Samaha and Sylvester Stallone;;0
2006;Little Man;Columbia Pictures, Revolution Studios;Rick Alvares, Lee Mays, Marlon Wayans and Shawn Wayans;;0
2004;White Chicks;Columbia Pictures, Revolution Studios;Rick Alvarez, Lee R. Mayes, Keenen Ivory Wayans, Marlon Wayans and Shawn Wayans;;0
1999;Star Wars: Episode I – The Phantom Menace;20th Century Fox;Rick McCallum and George Lucas;;0
1994;North;Columbia Pictures, Castle Rock Entertainment;Rob Reiner and Alan Zweibel;;0
1990;Rocky V;United Artists;Robert Chartoff and Irwin Winkler;;0
1993;Sliver;Paramount Pictures;Robert Evans;;0
1983;The Lonely Lady;Universal Studios;Robert R. Weston;yes;0
1999;The Blair Witch Project;Artisan Entertainment;Robin Cowie and Gregg Hale;;0
1983;Two of a Kind;20th Century Fox;Roger M. Rothstein and Joe Wizan;;0
1998;Godzilla;TriStar Pictures;Roland Emmerich and Dean Devlin;;0
1995;The Scarlet Letter;Hollywood Pictures;Roland Joffé and Andrew G. Vajna;;0
1996;Ed;Universal Studios;Rosalie Swedlin;;0
1987;Who's That Girl;Warner Bros.;Rosilyn Heller and Bernard Williams;;0
1983;Jaws 3-D;Universal Studios;Rupert Hitzig;;0
2006;Lady in the Water;Warner Bros.;Sam Mercer, Jose L. Rodriguez and M. Night Shyamalan;;0
2009;All About Steve;20th Century Fox;Sandra Bullock and Mary McLaglen;;0
2012;Battleship;Universal Studios;Sarah Aubrey, Peter Berg, Brian Goldner, Duncan Henderson, Bennett Schneir and Scott Stuber;;0
1980;Friday the 13th;Paramount Pictures;Sean S. Cunningham;;0
1993;Indecent Proposal;Paramount Pictures;Sherry Lansing;yes;0
2009;Land of the Lost;Universal Studios;Sid and Marty Krofft and Jimmy Miller;;0
1999;Big Daddy;Columbia Pictures;Sidney Ganis and Jack Giarraputo;;0
2015;Fantastic Four;20th Century Fox;Simon Kinberg, Matthew Vaughn, Hutch Parker, Robert Kulzer and Gregory Goodman;yes;0
1980;Saturn 3;Associated Film Distribution;Stanley Donen;;0
1980;The Formula;MGM, United Artists;Steve Shagan;;0
1988;Hot to Trot;Warner Bros.;Steve Tisch;;0
2004;Superbabies: Baby Geniuses 2;Triumph Films;Steven Paul;;0
1990;The Adventures of Ford Fairlane;20th Century Fox;Steven Perry and Joel Silver;yes;0
2016;Zoolander 2;Paramount Pictures;Stuart Cornfeld, Scott Rudin, Ben Stiller and Clayton Townsend;;0
1999;The Haunting;DreamWorks;Susan Arthur, Donna Roth and Colin Wilson;;0
2005;House of Wax;Warner Bros., Village Roadshow;Susan Levin, Joel Silver and Robert Zemeckis;;0
1988;Cocktail;Touchstone Pictures;Ted Field and Robert W. Cort;yes;0
2018;Winchester;Lionsgate;Tim McGahan and Brett Tomberlin;;0
2011;Jack and Jill;Columbia Pictures;Todd Garner, Jack Giarraputo and Adam Sandler;yes;0
2015;Paul Blart: Mall Cop 2;Columbia Pictures;Todd Garner, Kevin James and Adam Sandler;;0
1996;Barb Wire;PolyGram Filmed Entertainment, Gramercy Pictures;Todd Moyer, Mike Richardson and Brad Wyman;;0
1998;Spice World;Columbia Pictures;Uri Fruchtan, Mark L. Rosen and Barnaby Thompson;;0
2006;BloodRayne;Romar Entertainment;Uwe Boll, Dan Clarke and Wolfgang Herrold;;0
2008;In the Name of the King;Boll KG, Brightlight Pictures;Uwe Boll, Dan Clarke, Wolfgang Herrold and Shawn Williamson;;0
1997;Anaconda;Columbia Pictures;Verna Harrah, Carole Little and Leonard Rabinowitz;;0
1981;The Legend of the Lone Ranger;Universal Studios, Associated Film Distribution;Walter Coblenz;;0
1987;Ishtar;Columbia Pictures;Warren Beatty;;0
2018;Holmes & Watson;Columbia Pictures;Will Ferrell, Adam McKay, Jimmy Miller and Clayton Townsend;yes;0
1991;Return to the Blue Lagoon;Columbia Pictures;William A. Graham;;0
1980;Raise the Titanic;Associated Film Distribution;William Frye;;0
1986;Blue City;Paramount Pictures;William L. Hayward and Walter Hill;;0
2010;The Twilight Saga: Eclipse;Summit Entertainment;Wyck Godfrey and Karen Rosenfelt;;0
2011;The Twilight Saga: Breaking Dawn – Part 1;Summit Entertainment;Wyck Godfrey, Stephenie Meyer and Karen Rosenfelt;;0
1983;Hercules;MGM, United Artists, Cannon Films;Yoram Globus and Menahem Golan;;0
2012;The Twilight Saga: Breaking Dawn – Part 2;Summit Entertainment;Wyck Godfrey, Stephenie Meyer and Karen Rosenfelt;yes;1
1987;Tough Guys Don't Dance;Cannon Films;Yoram Globus and Menahem Golan;;1
1984;Cannonball Run II;Warner Bros.;Albert S. Ruddy;;2
2010;Vampires Suck;20th Century Fox;Jason Friedberg, Peter Safran and Aaron Seltzer;;2
1991;Hudson Hawk;TriStar Pictures;Joel Silver;yes;2
1994;Wyatt Earp;Warner Bros.;Kevin Costner, Lawrence Kasdan and Jim Wilson;;2
2011;Transformers: Dark of the Moon;Paramount Pictures;Lorenzo di Bonaventura, Ian Bryce, Tom DeSanto and Don Murphy;;2
1988;Rambo III;TriStar Pictures, Carolco Pictures;Buzz Feitshans;;3
2001;Pearl Harbor;Touchstone Pictures;Michael Bay and Jerry Bruckheimer;;3
2002;Star Wars: Episode II – Attack of the Clones;20th Century Fox;Rick McCallum and George Lucas;;3
1986;Cobra;Warner Bros., Cannon Films;Yoram Globus and Menahem Golan;;3
1984;Where the Boys Are '84;TriStar Pictures;Allan Carr;;4
1998;The Avengers;Warner Bros.;Jerry Weintraub;;4
1994;The Specialist;Warner Bros.;Jerry Weintraub;;5
1990;Ghosts Can't Do It;Triumph Releasing;Bo Derek;yes;6
1993;Body of Evidence;MGM, United Artists;Dino De Laurentiis;;8
1989;The Karate Kid Part III;Columbia Pictures;Jerry Weintraub;;9
